Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,01/31/2021 00:04:15,11, 22.000,0, 0.990540,  -650096.31,  0.11838377E+02, -0.11051387E+00,  0.45735975E-03, -0.74842385E-06, 170.26
     2,01/31/2021 00:04:15,11, 22.234,0, 0.990860,  -745374.44,  0.10179851E+03, -0.11226556E+01,  0.41349717E-02, -0.50834190E-05, 174.79
     3,01/31/2021 00:04:15,11, 22.500,0, 0.990600,  -833895.03,  0.96340562E+02, -0.10614590E+01,  0.37873326E-02, -0.43885409E-05, 190.61
     4,01/31/2021 00:04:15,11, 23.000,0, 0.991330,  -621762.79, -0.10738568E+03,  0.13356199E+01, -0.52665149E-02,  0.66821030E-05, 164.26
     5,01/31/2021 00:04:15,11, 23.034,0, 0.989980,  -563355.85, -0.94819243E+02,  0.11817776E+01, -0.46872285E-02,  0.59985918E-05, 163.44
     6,01/31/2021 00:04:15,11, 23.500,0, 0.992160,  -678088.89, -0.10039781E+03,  0.10750012E+01, -0.37321602E-02,  0.42036221E-05, 172.82
     7,01/31/2021 00:04:15,11, 23.834,0, 0.994300,  -740432.14, -0.12899751E+02,  0.45093552E-01,  0.19557269E-03, -0.68166150E-06, 174.37
     8,01/31/2021 00:04:15,11, 24.000,0, 0.991770,  -643675.95,  0.28632137E+02, -0.28328895E+00,  0.98252349E-03, -0.11935121E-05, 170.80
     9,01/31/2021 00:04:15,11, 24.500,0, 0.987040,  -597290.77, -0.19274877E+02,  0.25956774E+00, -0.10565601E-02,  0.13472031E-05, 167.65
    10,01/31/2021 00:04:15,11, 25.000,0, 0.987670,  -646601.02,  0.65126169E+02, -0.66407772E+00,  0.24182167E-02, -0.31127006E-05, 163.51
    11,01/31/2021 00:04:15,11, 25.500,0, 0.992660,  -603721.35, -0.15878365E+03,  0.16518840E+01, -0.57127049E-02,  0.65675415E-05, 156.77
    12,01/31/2021 00:04:15,11, 26.000,0, 0.995400,  -544488.58,  0.31054154E+02, -0.32830762E+00,  0.11441748E-02, -0.13149389E-05, 158.88
    13,01/31/2021 00:04:15,11, 26.234,0, 0.993920,  -497841.72, -0.98528266E+01,  0.10994922E+00, -0.34811138E-03,  0.29700766E-06, 154.07
    14,01/31/2021 00:04:15,11, 26.500,0, 0.994500,  -513657.51, -0.71112067E+01,  0.44336401E-01,  0.15894860E-04, -0.29042221E-06, 153.37
    15,01/31/2021 00:04:15,11, 27.000,0, 0.992510,  -449871.22,  0.28964801E+02, -0.32805850E+00,  0.12467493E-02, -0.15859384E-05, 149.64
    16,01/31/2021 00:04:15,11, 27.500,0, 0.994560,  -470551.51, -0.11014883E+03,  0.11743700E+01, -0.42078607E-02,  0.50622253E-05, 148.47
    17,01/31/2021 00:04:15,11, 28.000,0, 0.997520,  -459574.77, -0.25084516E+03,  0.26803324E+01, -0.93982259E-02,  0.10822074E-04, 155.69
    18,01/31/2021 00:04:15,11, 28.500,0, 0.992570,  -466735.86,  0.24351818E+03, -0.25341728E+01,  0.87995065E-02, -0.10195029E-04, 157.58
    19,01/31/2021 00:04:15,11, 29.000,0, 0.987610,  -434749.97, -0.10700639E+03,  0.11862719E+01, -0.43055094E-02,  0.51285777E-05, 154.67
    20,01/31/2021 00:04:15,11, 29.500,0, 0.978680,  -440692.27, -0.19633450E+03,  0.19963669E+01, -0.67576461E-02,  0.76143399E-05, 164.92
    21,01/31/2021 00:04:15,11, 30.000,0, 0.978030,  -465961.49, -0.61950534E+02,  0.65651415E+00, -0.22254514E-02,  0.24077204E-05, 155.20
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000,DataQuality
   160,01/31/2021 04:09:01,31,280.940, 170.085, 0.987228, 174.478, 0.990871, 190.558, 0.987161, 162.964, 0.830979, 161.965, 0.841602, 172.422, 0.992802, 173.674, 0.997019, 170.493, 0.999978, 167.221, 0.989214, 162.978, 0.997247, 156.325, 0.993960, 157.926, 0.994729, 153.615, 0.996717, 153.069, 0.989055, 149.007, 0.991530, 147.809, 0.997798, 155.059, 0.978782, 157.215, 0.994488, 154.180, 0.987061, 164.755, 0.993920, 154.982, 0.998424,1
   161,01/31/2021 04:10:45,31,280.910, 169.701, 0.993148, 174.263, 0.995760, 190.094, 0.985157, 162.858, 0.825424, 162.133, 0.846197, 172.234, 0.993852, 173.763, 0.998645, 170.237, 0.999435, 167.027, 0.991743, 162.696, 0.998069, 155.909, 0.995994, 158.064, 0.996568, 153.387, 0.998714, 152.499, 0.993636, 148.807, 0.995918, 147.468, 0.998441, 155.176, 0.990040, 156.773, 0.996603, 154.098, 0.992271, 164.629, 0.997860, 154.906, 0.999384,1
   162,01/31/2021 04:12:29,31,280.881, 169.533, 0.990846, 173.930, 0.992679, 190.156, 0.988415, 162.541, 0.839112, 161.401, 0.859940, 171.924, 0.995283, 173.298, 0.996832, 170.049, 0.999174, 166.814, 0.992633, 162.762, 0.997737, 155.971, 0.996648, 157.873, 0.995091, 153.137, 0.996616, 152.681, 0.991707, 148.795, 0.992658, 147.613, 0.996211, 155.232, 0.974298, 157.201, 0.991370, 153.990, 0.986357, 164.457, 0.994131, 154.928, 0.999649,1
   163,01/31/2021 04:14:13,31,280.868, 169.357, 0.994145, 174.144, 0.995739, 190.153, 0.987487, 162.687, 0.840877, 161.898, 0.846052, 172.308, 0.994048, 173.776, 0.997280, 170.311, 0.999807, 167.003, 0.993263, 162.691, 0.998367, 156.171, 0.994134, 157.943, 0.995278, 153.337, 0.997294, 152.565, 0.990631, 149.095, 0.995260, 147.568, 0.997535, 154.938, 0.985594, 156.991, 0.995418, 154.084, 0.988619, 164.373, 0.997566, 155.063, 0.999140,1
   164,01/31/2021 04:15:56,31,280.839, 169.890, 0.992849, 174.360, 0.993477, 190.016, 0.987466, 162.977, 0.843312, 162.209, 0.849746, 172.514, 0.993838, 173.722, 0.997071, 170.176, 0.999601, 166.856, 0.993621, 162.844, 0.997032, 156.298, 0.998657, 158.110, 0.997529, 153.511, 0.998158, 153.014, 0.992347, 149.200, 0.992915, 147.665, 0.998007, 155.123, 0.985161, 156.982, 0.992930, 154.021, 0.988948, 164.426, 0.996501, 154.934, 0.997988,1
   165,01/31/2021 04:17:40,31,280.823, 169.990, 0.991798, 174.473, 0.985635, 190.043, 0.985152, 163.326, 0.836234, 162.062, 0.850716, 172.463, 0.991347, 173.915, 0.997134, 170.125, 0.999553, 167.297, 0.993692, 163.100, 0.994830, 156.114, 0.996942, 158.378, 0.995528, 153.315, 0.998058, 152.921, 0.991422, 149.157, 0.995361, 147.435, 0.997600, 154.751, 0.985755, 156.935, 0.995769, 154.054, 0.987357, 164.460, 0.997810, 154.746, 0.999369,1
   166,01/31/2021 04:19:25,31,280.807, 169.780, 0.992776, 174.170, 0.990024, 190.116, 0.979539, 163.108, 0.830157, 162.234, 0.844647, 172.370, 0.993067, 174.137, 0.997409, 170.407, 0.999262, 166.782, 0.993467, 162.723, 0.996410, 156.227, 0.997530, 157.878, 0.995477, 153.521, 0.996765, 152.644, 0.992787, 148.944, 0.993539, 147.667, 0.995996, 155.205, 0.982719, 156.971, 0.995885, 154.289, 0.986301, 164.521, 0.995270, 154.795, 0.999441,1
   167,01/31/2021 04:21:09,31,280.808, 169.824, 0.988137, 174.527, 0.991265, 190.114, 0.986376, 162.978, 0.840843, 162.133, 0.838291, 172.133, 0.989323, 173.819, 0.998787, 169.980, 0.999727, 167.389, 0.993580, 162.824, 0.999264, 155.844, 0.998016, 157.968, 0.995645, 153.400, 0.996561, 152.523, 0.993124, 148.852, 0.998111, 147.625, 0.999559, 155.075, 0.992561, 157.255, 0.995614, 154.159, 0.989995, 164.601, 0.997782, 154.914, 0.999830,1
   168,01/31/2021 04:22:53,31,280.822, 169.545, 0.992391, 174.122, 0.991246, 189.947, 0.988804, 163.364, 0.832105, 162.200, 0.849125, 172.013, 0.993533, 173.729, 0.996055, 170.385, 0.999784, 166.683, 0.993986, 162.884, 0.997374, 156.112, 0.996752, 158.019, 0.996744, 153.478, 0.998677, 152.673, 0.994801, 149.153, 0.996382, 147.813, 0.998740, 155.091, 0.986047, 157.007, 0.994819, 153.992, 0.992918, 164.435, 0.996829, 154.955, 0.999675,1
   169,01/31/2021 04:24:36,31,280.829, 169.602, 0.994381, 173.919, 0.990247, 190.119, 0.986344, 163.350, 0.824272, 162.158, 0.836901, 172.012, 0.995759, 173.475, 0.997928, 170.325, 0.999130, 166.873, 0.994835, 162.880, 0.998723, 155.967, 0.996246, 158.129, 0.996013, 153.271, 0.998910, 152.602, 0.995349, 148.920, 0.995201, 147.476, 0.996932, 155.057, 0.983573, 156.967, 0.994615, 153.979, 0.985286, 164.489, 0.996348, 154.792, 0.999728,1
   170,01/31/2021 04:26:21,31,280.853, 169.803, 0.988588, 174.553, 0.991362, 190.460, 0.991377, 163.301, 0.820301, 162.756, 0.831979, 172.608, 0.991860, 174.057, 0.997196, 170.529, 0.999510, 166.775, 0.991370, 162.712, 0.997058, 155.869, 0.998131, 158.309, 0.998384, 153.196, 0.998538, 152.961, 0.995616, 149.123, 0.993789, 147.723, 0.997708, 155.190, 0.985617, 156.881, 0.993927, 154.022, 0.991420, 164.487, 0.997205, 154.632, 0.999642,1
   171,01/31/2021 04:28:04,31,280.907, 169.424, 0.988897, 174.081, 0.993168, 189.647, 0.984243, 163.111, 0.839282, 161.754, 0.848178, 172.039, 0.994568, 173.314, 0.999338, 170.184, 0.998703, 166.730, 0.994510, 162.547, 0.999873, 155.556, 0.999114, 158.075, 0.999248, 153.140, 0.999290, 152.245, 0.997598, 148.908, 0.998753, 147.517, 0.999666, 155.062, 0.988413, 156.998, 0.996393, 154.148, 0.993019, 164.312, 0.997546, 154.640, 0.999571,1
   172,01/31/2021 04:29:48,31,280.939, 170.038, 0.993502, 173.976, 0.993659, 190.344, 0.987954, 163.319, 0.852843, 162.308, 0.858512, 172.337, 0.993084, 173.662, 0.998355, 170.142, 0.999684, 167.161, 0.993686, 162.696, 0.998111, 155.841, 0.997515, 157.974, 0.995572, 153.333, 0.998582, 152.488, 0.996170, 148.937, 0.996728, 147.453, 0.999491, 154.990, 0.991883, 156.868, 0.995619, 153.896, 0.991074, 164.503, 0.995413, 154.876, 0.999233,1
   173,01/31/2021 04:31:32,31,281.001, 169.732, 0.989451, 173.945, 0.990617, 190.143, 0.989748, 163.174, 0.832106, 162.137, 0.845267, 172.194, 0.994645, 173.603, 0.995370, 170.115, 0.999500, 167.001, 0.993605, 162.937, 0.993495, 155.850, 0.996873, 157.923, 0.995007, 153.099, 0.997295, 152.552, 0.990133, 148.905, 0.991138, 147.602, 0.994781, 155.230, 0.976496, 156.942, 0.994515, 154.091, 0.985284, 164.715, 0.995341, 154.770, 0.998219,1
   174,01/31/2021 04:33:17,31,281.047, 169.726, 0.989402, 174.387, 0.994403, 189.629, 0.988992, 163.186, 0.834409, 162.262, 0.854775, 171.845, 0.991650, 173.487, 0.996169, 170.006, 0.998249, 166.834, 0.991974, 162.570, 0.997469, 155.668, 0.996278, 157.894, 0.996026, 153.094, 0.998995, 152.490, 0.995321, 148.838, 0.996402, 147.436, 0.998528, 154.989, 0.981235, 156.677, 0.995664, 153.915, 0.986471, 164.151, 0.997433, 154.549, 0.999203,1
   175,01/31/2021 04:35:02,31,281.101, 169.709, 0.993053, 174.126, 0.992671, 190.359, 0.990691, 163.305, 0.833307, 162.412, 0.855329, 172.055, 0.996007, 173.664, 0.995993, 170.233, 0.999450, 167.032, 0.995365, 162.792, 0.996938, 155.942, 0.995259, 158.008, 0.996417, 153.447, 0.998834, 152.519, 0.994782, 149.032, 0.992588, 147.449, 0.997661, 155.043, 0.985727, 156.874, 0.992339, 154.092, 0.988994, 164.477, 0.997856, 154.736, 0.998558,1
   176,01/31/2021 04:36:46,31,281.169, 169.988, 0.988398, 174.282, 0.989553, 190.050, 0.987269, 163.744, 0.829817, 162.584, 0.854101, 172.443, 0.993230, 173.517, 0.996044, 170.155, 0.998837, 167.283, 0.996389, 163.035, 0.996942, 156.167, 0.996754, 158.162, 0.997551, 153.384, 0.998861, 152.779, 0.995555, 149.043, 0.995492, 147.878, 0.998646, 154.839, 0.985684, 157.045, 0.995363, 154.420, 0.992328, 164.503, 0.997139, 155.130, 0.999373,1
   177,01/31/2021 04:38:30,31,281.237, 169.663, 0.993148, 173.808, 0.990630, 189.738, 0.989941, 163.702, 0.857960, 162.989, 0.862484, 172.240, 0.994800, 173.588, 0.997398, 170.236, 0.999755, 166.888, 0.994529, 162.365, 0.997514, 155.858, 0.997686, 157.848, 0.996739, 153.156, 0.999171, 152.554, 0.992737, 148.998, 0.997527, 147.865, 0.999686, 155.032, 0.993812, 156.961, 0.996435, 154.001, 0.990779, 164.628, 0.997328, 154.769, 0.999451,1
   178,01/31/2021 04:40:14,31,281.300, 169.468, 0.994202, 174.090, 0.991941, 190.188, 0.989185, 163.583, 0.842612, 162.241, 0.859802, 172.145, 0.995980, 173.629, 0.997379, 170.437, 0.999500, 166.962, 0.993498, 162.773, 0.995732, 156.205, 0.998766, 158.097, 0.994906, 153.787, 0.999356, 152.871, 0.993389, 149.171, 0.994872, 147.787, 0.996766, 155.342, 0.988096, 157.148, 0.995437, 154.221, 0.990530, 164.545, 0.994850, 154.624, 0.999595,1
   179,01/31/2021 04:41:58,31,281.368, 169.623, 0.988033, 174.278, 0.990483, 190.266, 0.989867, 163.541, 0.856130, 162.704, 0.844417, 172.184, 0.991459, 173.514, 0.998123, 170.146, 0.999594, 166.997, 0.992434, 162.587, 0.998195, 155.946, 0.991916, 158.077, 0.995113, 153.302, 0.999883, 152.649, 0.994124, 148.647, 0.992470, 147.801, 0.998016, 155.053, 0.988037, 157.086, 0.994410, 154.182, 0.991432, 164.361, 0.997056, 154.623, 0.999647,1
   180,01/31/2021 04:43:42,31,281.445, 170.157, 0.991085, 174.529, 0.991913, 190.412, 0.991725, 163.781, 0.841721, 162.862, 0.846499, 172.341, 0.992685, 174.023, 0.996775, 170.446, 0.999381, 167.349, 0.993653, 163.025, 0.995488, 156.191, 0.994446, 158.331, 0.994881, 153.774, 0.998512, 153.043, 0.994162, 149.052, 0.991613, 147.866, 0.998159, 155.110, 0.982778, 156.951, 0.993192, 154.034, 0.991214, 164.572, 0.996505, 155.144, 0.996469,1
   181,01/31/2021 04:45:26,31,281.515, 169.639, 0.987838, 174.011, 0.990262, 189.896, 0.988215, 163.354, 0.852504, 162.770, 0.855050, 172.382, 0.992780, 173.392, 0.997097, 169.791, 0.999944, 166.759, 0.995073, 162.750, 0.994332, 155.828, 0.997418, 157.988, 0.996500, 153.340, 0.998792, 152.565, 0.996274, 149.166, 0.992349, 147.710, 0.997274, 154.876, 0.983870, 157.156, 0.992456, 154.161, 0.990527, 164.465, 0.996306, 155.096, 0.999360,1
   182,01/31/2021 04:47:10,31,281.596, 169.603, 0.989807, 174.369, 0.993875, 190.090, 0.985352, 164.033, 0.845284, 163.087, 0.859810, 172.558, 0.995276, 174.039, 0.998780, 170.135, 0.999106, 167.255, 0.988624, 162.876, 0.998227, 156.127, 0.996977, 158.353, 0.996396, 153.461, 0.999437, 152.910, 0.992371, 149.279, 0.996686, 147.566, 0.998465, 155.375, 0.984948, 157.067, 0.995932, 154.314, 0.992377, 164.597, 0.997214, 154.904, 0.999383,1
   183,01/31/2021 04:48:54,31,281.680, 169.905, 0.992433, 174.303, 0.997174, 190.101, 0.988663, 163.618, 0.860490, 163.005, 0.864086, 172.526, 0.994323, 173.709, 0.998590, 170.504, 0.998828, 167.080, 0.996082, 162.999, 0.997338, 156.157, 0.998692, 158.357, 0.995503, 153.666, 0.999893, 152.901, 0.993028, 149.159, 0.995938, 147.528, 0.999417, 155.259, 0.989083, 157.008, 0.996939, 153.903, 0.989470, 164.661, 0.995126, 155.166, 0.999717,1
   184,01/31/2021 04:50:38,31,281.757, 169.629, 0.987192, 174.140, 0.992035, 189.794, 0.987646, 163.489, 0.849296, 162.572, 0.868208, 172.126, 0.988038, 173.834, 0.997406, 170.217, 0.999577, 166.772, 0.987877, 162.601, 0.996641, 155.756, 0.995700, 157.698, 0.992813, 153.118, 0.996381, 152.408, 0.989062, 148.744, 0.995001, 147.727, 0.997851, 154.861, 0.984837, 156.624, 0.994016, 153.627, 0.988930, 164.457, 0.996284, 154.590, 0.999506,1
   185,01/31/2021 04:52:22,31,281.833, 169.581, 0.993990, 173.987, 0.993483, 190.307, 0.992120, 163.884, 0.850109, 162.845, 0.868157, 172.420, 0.996711, 173.920, 0.997793, 170.306, 0.999803, 166.777, 0.996753, 162.968, 0.997328, 156.221, 0.996899, 158.082, 0.998752, 153.156, 0.999519, 152.548, 0.991879, 148.845, 0.992490, 147.444, 0.998109, 154.928, 0.988421, 156.681, 0.996330, 154.059, 0.988439, 164.541, 0.996418, 154.551, 0.999234,1
   186,01/31/2021 04:54:05,31,281.880, 169.560, 0.986339, 174.177, 0.993441, 189.666, 0.986670, 163.726, 0.856131, 162.788, 0.863515, 172.142, 0.991966, 173.752, 0.997253, 169.792, 0.999702, 166.932, 0.990456, 162.994, 0.996573, 155.838, 0.997417, 158.010, 0.996304, 153.413, 0.998556, 152.720, 0.990543, 149.071, 0.996801, 147.550, 0.997421, 155.055, 0.985140, 156.797, 0.993617, 154.216, 0.988067, 164.687, 0.995825, 154.839, 0.999235,1
   187,01/31/2021 04:55:50,31,281.940, 169.710, 0.988884, 173.831, 0.991804, 190.057, 0.986411, 163.692, 0.866790, 162.704, 0.883252, 172.189, 0.990214, 173.185, 0.996913, 169.782, 0.999091, 166.813, 0.992540, 162.956, 0.996869, 155.715, 0.994713, 158.279, 0.994489, 153.342, 0.997254, 152.748, 0.989925, 149.232, 0.991712, 147.663, 0.997961, 155.236, 0.982554, 157.048, 0.991465, 154.118, 0.988508, 164.916, 0.994013, 154.973, 0.999869,1
   188,01/31/2021 04:57:34,31,281.981, 169.484, 0.991091, 174.030, 0.993064, 189.901, 0.984710, 163.333, 0.862725, 162.661, 0.885710, 171.953, 0.995685, 173.459, 0.997033, 169.889, 0.999188, 166.909, 0.993092, 162.680, 0.997872, 155.518, 0.995388, 157.952, 0.991893, 153.230, 0.998316, 152.529, 0.992227, 148.687, 0.993670, 147.753, 0.997290, 155.047, 0.989965, 156.652, 0.992309, 154.044, 0.988145, 164.567, 0.996167, 154.859, 0.999504,1
   189,01/31/2021 04:59:18,31,282.028, 169.392, 0.993201, 173.673, 0.992221, 189.960, 0.985936, 163.769, 0.852291, 162.714, 0.870787, 172.270, 0.993683, 173.578, 0.999318, 170.167, 0.999051, 166.914, 0.993110, 162.752, 0.999493, 156.131, 0.998361, 158.106, 0.996618, 153.208, 0.998569, 152.641, 0.993001, 148.922, 0.997892, 147.459, 0.998528, 155.115, 0.989827, 156.951, 0.996693, 154.128, 0.993740, 164.499, 0.995588, 154.893, 0.999780,1
   190,01/31/2021 05:01:02,31,282.067, 169.431, 0.990273, 173.701, 0.992466, 189.548, 0.986949, 163.306, 0.871027, 163.082, 0.882884, 171.713, 0.993126, 173.064, 0.998493, 169.916, 0.999042, 167.156, 0.990208, 162.598, 0.997606, 155.795, 0.998652, 157.900, 0.996887, 153.282, 0.998691, 152.548, 0.993535, 148.998, 0.993840, 147.234, 0.998776, 154.652, 0.987928, 156.934, 0.994870, 154.071, 0.991171, 164.389, 0.998575, 155.211, 0.999837,1
   191,01/31/2021 05:02:47,31,282.106, 169.903, 0.992776, 174.142, 0.994640, 190.485, 0.986985, 163.859, 0.862262, 162.801, 0.874193, 171.934, 0.994975, 173.793, 0.998469, 170.221, 0.999510, 166.926, 0.996021, 162.621, 0.999031, 155.640, 0.998887, 157.966, 0.998153, 153.354, 0.997915, 152.722, 0.992582, 148.910, 0.997186, 147.456, 0.999855, 154.881, 0.987856, 156.753, 0.996234, 154.036, 0.992284, 164.289, 0.996153, 154.719, 0.999428,1
   192,01/31/2021 05:04:30,31,282.164, 169.546, 0.989416, 174.199, 0.994795, 189.902, 0.981559, 163.569, 0.865297, 162.752, 0.884985, 172.386, 0.992626, 173.501, 0.998964, 169.973, 0.998598, 167.142, 0.991084, 162.913, 0.999666, 155.835, 0.998740, 157.962, 0.998044, 153.286, 0.997504, 152.858, 0.996120, 148.942, 0.997162, 147.747, 0.999398, 155.328, 0.989526, 157.028, 0.997584, 154.126, 0.995637, 164.551, 0.997111, 155.180, 0.999729,1
   193,01/31/2021 05:06:14,31,282.222, 169.960, 0.989530, 174.254, 0.994073, 189.814, 0.988538, 163.858, 0.858541, 162.975, 0.874113, 172.405, 0.993224, 173.770, 0.998993, 170.359, 0.999689, 167.233, 0.991410, 162.949, 0.997836, 156.520, 0.997258, 158.532, 0.997148, 153.365, 0.998419, 152.877, 0.993941, 148.876, 0.998013, 147.630, 0.998233, 155.105, 0.992076, 156.867, 0.996622, 154.185, 0.992723, 164.760, 0.997118, 154.925, 0.999720,1
   194,01/31/2021 05:07:58,31,282.274, 169.628, 0.994939, 174.321, 0.991824, 190.104, 0.987487, 164.159, 0.858922, 163.016, 0.880540, 172.393, 0.990483, 173.666, 0.999949, 170.370, 0.998471, 167.019, 0.993170, 163.061, 0.999121, 156.216, 0.997454, 158.288, 0.997255, 153.725, 0.998875, 152.858, 0.994843, 149.068, 0.997503, 147.652, 0.998989, 155.285, 0.990300, 157.081, 0.995511, 154.144, 0.992296, 164.631, 0.996071, 155.101, 0.999930,1
   195,01/31/2021 05:09:41,31,282.345, 169.699, 0.988317, 173.793, 0.994430, 189.811, 0.983995, 163.912, 0.862983, 162.585, 0.869121, 172.110, 0.991734, 173.397, 0.999371, 170.337, 0.998696, 166.762, 0.992637, 162.597, 0.999681, 155.475, 0.998551, 157.852, 0.997709, 153.069, 0.997922, 152.237, 0.995173, 148.695, 0.996860, 147.381, 0.997288, 154.821, 0.985152, 156.849, 0.997000, 154.090, 0.993579, 164.198, 0.995586, 154.744, 0.999143,1
   196,01/31/2021 05:11:25,31,282.404, 169.606, 0.992774, 173.896, 0.991937, 190.220, 0.984630, 163.643, 0.867429, 162.768, 0.875593, 172.462, 0.992811, 173.738, 0.999901, 170.276, 0.996987, 167.108, 0.992180, 162.781, 0.999159, 156.057, 0.994800, 158.275, 0.992685, 153.480, 0.995519, 153.008, 0.989978, 148.849, 0.997471, 147.736, 0.997725, 155.347, 0.988019, 156.971, 0.994755, 154.352, 0.992596, 164.525, 0.993867, 154.893, 0.999398,1
   197,01/31/2021 05:13:09,31,282.437, 169.093, 0.990223, 173.713, 0.992511, 190.257, 0.980091, 163.724, 0.858455, 162.888, 0.867975, 172.054, 0.988039, 173.468, 0.999207, 169.983, 0.998195, 166.783, 0.987914, 162.555, 0.998227, 155.549, 0.996205, 158.107, 0.994755, 153.033, 0.997064, 152.552, 0.989915, 148.602, 0.995920, 147.657, 0.996404, 154.940, 0.983967, 156.808, 0.991675, 153.933, 0.988596, 164.514, 0.994735, 154.798, 0.999119,1
   198,01/31/2021 05:14:54,31,282.452, 169.888, 0.993137, 174.262, 0.993224, 190.362, 0.986505, 163.765, 0.866772, 162.909, 0.881801, 172.374, 0.991201, 173.854, 0.999049, 170.460, 0.999435, 167.272, 0.991231, 163.063, 0.998943, 156.266, 0.998889, 158.273, 0.995035, 153.600, 0.998708, 153.021, 0.994505, 149.262, 0.998369, 148.005, 0.999756, 155.193, 0.992222, 157.291, 0.998944, 154.428, 0.991946, 164.477, 0.996396, 155.102, 0.999444,1
   199,01/31/2021 05:16:38,31,282.466, 169.346, 0.990730, 173.755, 0.989831, 189.505, 0.985554, 163.673, 0.862151, 162.719, 0.880396, 172.374, 0.993007, 173.279, 0.997738, 170.005, 0.998848, 166.735, 0.994136, 162.800, 0.998643, 155.773, 0.996845, 157.825, 0.995148, 153.132, 0.998706, 152.367, 0.997678, 148.790, 0.993081, 147.399, 0.997048, 155.014, 0.988269, 156.543, 0.994947, 153.670, 0.991330, 164.282, 0.994244, 154.636, 0.999816,1
   200,01/31/2021 05:18:22,31,282.478, 169.644, 0.988976, 174.134, 0.992918, 190.136, 0.984187, 164.144, 0.848348, 163.123, 0.880627, 172.200, 0.988888, 173.872, 0.998682, 170.291, 0.998716, 166.841, 0.994043, 162.895, 0.997474, 155.837, 0.995284, 158.119, 0.995859, 153.339, 0.997471, 152.425, 0.989808, 148.615, 0.996958, 147.608, 0.999412, 155.005, 0.991705, 156.607, 0.995515, 153.935, 0.994973, 164.681, 0.997425, 154.998, 0.999739,1
   201,01/31/2021 05:20:07,31,282.507, 169.641, 0.985931, 173.876, 0.992543, 189.952, 0.979871, 163.626, 0.864069, 162.819, 0.864109, 172.048, 0.984965, 173.317, 0.996152, 170.108, 0.998958, 166.475, 0.989426, 162.577, 0.997188, 155.791, 0.994704, 157.579, 0.994507, 153.058, 0.994389, 152.351, 0.991228, 148.694, 0.994502, 147.221, 0.998139, 154.908, 0.983050, 156.679, 0.989381, 153.960, 0.987297, 164.561, 0.996154, 154.757, 0.999587,1
   202,01/31/2021 05:21:51,31,282.550, 169.750, 0.988993, 173.725, 0.989978, 189.548, 0.981090, 164.016, 0.858410, 162.750, 0.877590, 172.063, 0.990643, 173.441, 0.998406, 170.360, 0.998639, 167.032, 0.992442, 162.485, 0.997590, 155.684, 0.998151, 158.120, 0.996945, 153.345, 0.998173, 152.498, 0.994391, 148.788, 0.995251, 147.796, 0.999234, 155.043, 0.988166, 156.924, 0.996063, 154.126, 0.992946, 164.731, 0.996828, 154.993, 0.999530,1
   203,01/31/2021 05:23:35,31,282.591, 169.316, 0.988009, 173.951, 0.993764, 189.767, 0.990224, 163.631, 0.852151, 162.781, 0.863019, 171.954, 0.993161, 173.530, 0.997213, 170.231, 0.999670, 166.823, 0.993080, 162.886, 0.998084, 155.924, 0.997088, 158.156, 0.995701, 153.543, 0.997634, 152.457, 0.987963, 148.905, 0.994984, 147.294, 0.998953, 155.068, 0.985553, 156.967, 0.994734, 154.016, 0.990377, 164.571, 0.993960, 154.957, 0.999750,1
   204,01/31/2021 05:25:19,31,282.621, 169.523, 0.986152, 173.783, 0.990983, 190.043, 0.981078, 163.604, 0.872727, 162.902, 0.882232, 171.943, 0.991795, 173.511, 0.999089, 170.055, 0.999376, 167.037, 0.992055, 162.960, 0.996890, 155.694, 0.997397, 158.008, 0.994583, 153.140, 0.999657, 152.420, 0.992294, 148.995, 0.997093, 147.654, 0.999123, 154.826, 0.991623, 156.758, 0.995026, 153.973, 0.993978, 164.608, 0.994487, 155.036, 0.999899,1
